pool_id,ticker,name,stake_lovelace,stake_ada,relay_hostname,relay_ip,latitude,longitude,city,country
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,KILN1,Kiln,70680621953044,70680621.953044000000,relay-kiln-1-2.cardano.mainnet.kiln.fi,"","","","",""
pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,KOH,Kind Orange Heisenberg,70537013255154,70537013.255154000000,7ddb9c28.cardano-relay.bison.run,"","","","",""
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,TITANstaking,70383430067767,70383430.067767000000,r-eu-2.titanstaking.io,"","","","",""
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,TITANstaking,70383430067767,70383430.067767000000,r-eu-0.titanstaking.io,"","","","",""
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,TITANstaking,70383430067767,70383430.067767000000,r-eu-1.titanstaking.io,"","","","",""
pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,UBE,Upbeat Beige Euler,70335186551868,70335186.551868000000,8d6f8de4.cardano-relay.herd.run,"","","","",""
pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,WGM,Wacky Gold Maxwell,70324793620984,70324793.620984000000,b3e201f4.cardano-relay.bison.run,"","","","",""
pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,GMO1,GMO Coin Staking Pool,70199374745693,70199374.745693000000,relays.wavepool.digital,"","","","",""
pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,TBG,Thin Blue Galileo,70198688815841,70198688.815841000000,b3bbbcac.cardano-relay.bison.run,"","","","",""
pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,ARH,Admiring Red Hertz,70188563822574,70188563.822574000000,ddbb5a06.cardano-relay.herd.run,"","","","",""
pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,FVG,Fervent Vermilion Galileo,70077513164519,70077513.164519000000,e4527900.cardano-relay.herd.run,"","","","",""
pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,LAG,Lucky Azure Gauss,70049978336823,70049978.336823000000,9a956262.cardano-relay.bison.run,"","","","",""
pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,UTA,Ubiquitous Teal Aslan,70047534453393,70047534.453393000000,a94da6a8.cardano-relay.bison.run,"","","","",""
pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,SBP1,StakeBowlPool1,70045050643157,70045050.643157000000,"",35.75.32.253,"","","",""
pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,N/A,n/a,70043180366844,70043180.366844000000,9dc533bf.cardano-relay.herd.run,"","","","",""
pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,TLK,Tidy Lilac Kepler,70039282367424,70039282.367424000000,f84db19f.cardano-relay.bison.run,"","","","",""
pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,TZD,Tall Zaffre Darwin,70028121327331,70028121.327331000000,d699483e.cardano-relay.bison.run,"","","","",""
pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,N/A,n/a,70026096174571,70026096.174571000000,72e508af.cardano-relay.herd.run,"","","","",""
pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,"","",70025629707487,70025629.707487000000,d489c136.cardano-relay.bison.run,"","","","",""
pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,RMH,Relaxed Mustard Hopper,70024325377972,70024325.377972000000,778cb679.cardano-relay.bison.run,"","","","",""
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,"","",70021149508108,70021149.508108000000,bb78d57d.cardano-relay.bison.run,"","","","",""
